,source_uri,ms count
0,0000Abaqrat0000Btulimus,1
1,0000Anonymous,26
2,0000Anonymous.CajabBunyan,5
3,0000Anonymous.CajabHikayat,1
4,0000AnonymousPlural,35
5,0000Aristutulis,8
6,0000Dimquratus,1
7,0000Disquridus,1
8,0000Hirdusus,1
9,0000Hirmus,8
10,0150AbuHanifa,1
11,0151IbnIshaq.Sira,32
12,0180Sibawayhi,11
13,0180Sibawayhi.KitabSibawayhi,1
14,0182AbuYusufYacqub.Athar,1
15,0182AbuYusufYacqub.Kharaj,3
16,0198SufyanIbnCuyayna,2
17,0204IbnKalbi,5
18,0207Waqidi,32
19,0207Waqidi.Maghazi,3
20,0209AbuCubayda,20
21,0209AbuCubayda.Dibaj,3
22,0230IbnSacd.TabaqatKubra,16
23,0231IbnZiyadAcrabi,10
24,0241IbnHanbal,3
25,0255Jahiz.Hayawan,26
26,0257IbnCabdHakam.FutuhMisr,160
27,0262CumarIbnShabba,6
28,0276IbnQutaybaDinawari,10
29,0276IbnQutaybaDinawari.AdabKatib,1
30,0276IbnQutaybaDinawari.AnwaFiMawasim,1
31,0276IbnQutaybaDinawari.GharibHadith,3
32,0276IbnQutaybaDinawari.Macarif,2
33,0276IbnQutaybaDinawari.TawilMushkilQuran,1
34,0279Baladhuri,5
35,0279Baladhuri.AnsabAshraf,3
36,0280IbnTayfur,1
37,0282AbuHanifaDinawari,2
38,0282AbuHanifaDinawari.Nabat,1
39,0292Yacqubi,2
40,0300IbnKhurdadhbih.MasalikWaMamalik,3
41,0310Tabari.Tarikh,8
42,0334AbuMuhammadHamdani.IklilAkhbarYaman,1
43,0337QudamaIbnJacfar,3
44,0346Mascudi,44
45,0346Mascudi.MurujDhahab,80
46,0346Mascudi.TanbihWaIshraf,7
47,0347IbnYunusSadafi.Tarikh,17
48,0350Balawi.SiratAhmadIbnTulun,20
49,0350MuhammadKindi.FadailMisr,20
50,0350MuhammadKindi.WulatMisr,78
51,0367IbnHawqal.SuratArd,5
52,0370CaribQurtubi,1
53,0370CaribQurtubi.SilaTarikhTabari,1
54,0375AnonymousTranslator.TarikhCalamUrusiyus,11
55,0383IbnCabbasKhwarizmi,2
56,0387IbnZulaq,45
57,0388Shabushti.Diyarat,6
58,0420Musabbihi.AkhbarMisr,50
59,0428IbnSina,1
60,0440AbuRayhanBiruni,1
61,0450Anonymous.SiratYazuri,2
62,0453CaliIbnRidwan,11
63,0454Qudaci,71
64,0458Bayhaqi,2
65,0458Bayhaqi.DalailNubuwwa,3
66,0458Bayhaqi.Khilafiyyat,1
67,0458Bayhaqi.MacrifatSunanWaAthar,1
68,0458Bayhaqi.SunanKubra,1
69,0458IbnSidaMursi.MuhkamWaMuhit,22
70,0460Anonymous.DhakhairTuhaf,18
71,0460IbnButlan,1
72,0487AbuCubaydBakri.MucjamMaIstacjama,6
73,0487Bakri,8
74,0528HakamIbnAbiSalt,25
75,0528HakamIbnAbiSalt.Diwan,4
76,0529AbuSalt,5
77,0542IbnMunjibTajRiyasaIbnSayrafi,2
78,0560SharifIdrisi.NuzhatMushtaq,3
79,0576AbuTahirSilafi.MucjamSafar,1
80,0581AbuQasimSuhayli.RawdUnuf,2
81,0588IbnMamun.AkhbarMisr,134
82,0596IbnWasifShah,5
83,0596IbnWasifShah.MukhtasarCajaibDunya,58
84,0596QadiFadil,2
85,0596QadiFadil.Mutajaddidat,29
86,0606IbnMamati.QawaninDawawin,1
87,0614IbnJubayr.Rihla,2
88,0617IbnTuwayr.NuzhatMuqlatayn,102
89,0626YaqutHamawi,7
90,0626YaqutHamawi.Khazal,1
91,0626YaqutHamawi.MucjamBuldan,3
92,0626YaqutHamawi.MucjamUdaba,3
93,0626YaqutHamawi.Mushtarik,2
94,0629CabdLatifBaghdadi,1
95,0630IbnAbiTayyi,18
96,0633IbnDihyaJumayyilKalbi,1
97,0633IbnDihyaJumayyilKalbi.NibrasFiTarikh,1
98,0646IbnBaytarAndalusi.JamicLiMufradat,4
99,0665AbuShama.Rawdatayn,1
100,0677IbnMuyassar.AkhbarMisr,23
101,0681IbnKhallikan.WafayatAcyan,11
102,0685IbnSacidMaghribi,20
103,0685IbnSacidMaghribi.Jughrafiya,1
104,0685IbnSacidMaghribi.Maghrib,6
105,0685IbnSacidMaghribi.Muhalla,2
106,0692IbnCabdZahir.RawdaBahiyya,131
107,0695SarrajDinWaraq,2
108,0697IbnWasil,1
109,0730ShaficIbnCali,2
110,0736IbnDawadari.KanzDurar,1
111,0748Adfuwi,1
112,0748Adfuwi.TalicSacid,1
113,0774IbnKathir,1
114,0807IbnFurat.TarikhDuwal,1
115,0820IbnMutawwaj,19
116,567IbnQalaqis,5
117,Anonymous,24
